********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,Frequency,See Legend,C,Flag Code,%,Flag Code,mb,Flag Code,m/s,Flag Code,m/s,Flag Code,time, degrees,Flag Code,sd,Flag Code,millimoles/m2, Flag Code,mm,Flag Code
tjrtlmet,P,12/01/2022 05:15,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.4,<0> ,2.6,<0> ,05:09,106,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 05:30,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.7,<0> ,2.9,<0> ,05:27,105,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 05:45,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.3,<0> ,2.4,<0> ,05:31,115,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 06:00,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,1.5,<0> ,2.7,<0> ,05:54,116,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 06:15,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,1.3,<0> ,2.2,<0> ,06:03,117,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 06:30,0,1,15,,12.5,<0> ,70,<0> ,1017,<0> ,1.1,<0> ,2.2,<0> ,06:24,111,<0> ,12,<0> ,0.6,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 06:45,0,1,15,,12.6,<0> ,69,<0> ,1017,<0> ,1.3,<0> ,2.1,<0> ,06:30,103,<0> ,11,<0> ,4.7,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 07:00,0,1,15,,12.7,<0> ,69,<0> ,1017,<0> ,1.1,<0> ,1.8,<0> ,06:52,102,<0> ,11,<0> ,12.4,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 07:15,0,1,15,,12.8,<0> ,69,<0> ,1017,<0> ,1.1,<0> ,2.2,<0> ,07:14,103,<0> ,11,<0> ,24.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 07:30,0,1,15,,13.0,<0> ,68,<0> ,1017,<0> ,1.0,<0> ,2.5,<0> ,07:16,103,<0> ,11,<0> ,44.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 07:45,0,1,15,,13.1,<0> ,68,<0> ,1017,<0> ,0.9,<0> ,1.6,<0> ,07:40,105,<0> ,14,<0> ,47.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 08:00,0,1,15,,13.3,<0> ,67,<0> ,1017,<0> ,1.1,<0> ,2.4,<0> ,07:51,106,<0> ,16,<0> ,81.8,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 08:15,0,1,15,,13.5,<0> ,66,<0> ,1017,<0> ,1.2,<0> ,2.3,<0> ,08:11,106,<0> ,16,<0> ,99.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 08:30,0,1,15,,13.7,<0> ,65,<0> ,1018,<0> ,1.1,<0> ,2.2,<0> ,08:16,108,<0> ,16,<0> ,113.6,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 08:45,0,1,15,,13.9,<0> ,65,<0> ,1018,<0> ,1.1,<0> ,2.3,<0> ,08:38,111,<0> ,16,<0> ,142.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 09:00,0,1,15,,14.2,<0> ,64,<0> ,1018,<0> ,1.0,<0> ,1.9,<0> ,08:58,112,<0> ,19,<0> ,168.9,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 09:15,0,1,15,,14.3,<0> ,64,<0> ,1018,<0> ,1.0,<0> ,1.6,<0> ,09:06,115,<0> ,16,<0> ,172.7,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 09:30,0,1,15,,14.5,<0> ,64,<0> ,1018,<0> ,0.7,<0> ,1.5,<0> ,09:20,138,<0> ,23,<0> ,192.4,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 09:45,0,1,15,,14.9,<0> ,64,<0> ,1018,<0> ,0.7,<0> ,1.7,<0> ,09:39,171,<0> ,32,<0> ,285.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 10:00,0,1,15,,15.2,<0> ,60,<0> ,1018,<0> ,1.6,<0> ,2.8,<0> ,09:48,232,<0> ,28,<0> ,401.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 10:15,0,1,15,,15.4,<0> ,58,<0> ,1018,<0> ,2.0,<0> ,2.9,<0> ,10:12,252,<0> ,12,<0> ,525.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 10:30,0,1,15,,15.8,<0> ,56,<0> ,1018,<0> ,1.9,<0> ,2.8,<0> ,10:16,249,<0> ,17,<0> ,682.4,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 10:45,0,1,15,,16.0,<0> ,55,<0> ,1018,<0> ,1.7,<0> ,2.9,<0> ,10:42,223,<0> ,23,<0> ,717.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 11:00,0,1,15,,16.1,<0> ,54,<0> ,1018,<0> ,2.2,<0> ,3.5,<0> ,10:54,247,<0> ,13,<0> ,650.6,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 11:15,0,1,15,,15.9,<0> ,55,<0> ,1018,<0> ,1.9,<0> ,3.2,<0> ,11:12,228,<0> ,18,<0> ,582.9,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 11:30,0,1,15,,16.0,<0> ,55,<0> ,1018,<0> ,2.4,<0> ,3.9,<0> ,11:24,225,<0> ,15,<0> ,627.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 11:45,0,1,15,,16.6,<0> ,53,<0> ,1018,<0> ,2.2,<0> ,3.8,<0> ,11:40,219,<0> ,19,<0> ,944.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 12:00,0,1,15,,16.8,<0> ,51,<0> ,1018,<0> ,2.9,<0> ,5.2,<0> ,11:54,239,<0> ,18,<0> ,1083.9,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 12:15,0,1,15,,17.0,<0> ,50,<0> ,1017,<0> ,2.6,<0> ,4.2,<0> ,12:05,230,<0> ,18,<0> ,1143.8,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 12:30,0,1,15,,16.9,<0> ,50,<0> ,1017,<0> ,2.4,<0> ,3.8,<0> ,12:28,231,<0> ,15,<0> ,811.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 12:45,0,1,15,,15.9,<0> ,53,<0> ,1017,<0> ,2.1,<0> ,3.1,<0> ,12:39,255,<0> ,16,<0> ,496.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 13:00,0,1,15,,15.9,<0> ,54,<0> ,1017,<0> ,2.1,<0> ,3.1,<0> ,12:57,231,<0> ,16,<0> ,458.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 13:15,0,1,15,,15.7,<0> ,54,<0> ,1017,<0> ,2.2,<0> ,3.1,<0> ,13:04,245,<0> ,15,<0> ,475.8,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 13:30,0,1,15,,15.7,<0> ,54,<0> ,1017,<0> ,1.8,<0> ,2.8,<0> ,13:25,250,<0> ,16,<0> ,489.7,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 13:45,0,1,15,,15.7,<0> ,54,<0> ,1017,<0> ,1.8,<0> ,2.7,<0> ,13:40,265,<0> ,19,<0> ,435.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 14:00,0,1,15,,15.8,<0> ,54,<0> ,1017,<0> ,1.3,<0> ,2.4,<0> ,13:47,242,<0> ,22,<0> ,499.9,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 14:15,0,1,15,,15.7,<0> ,55,<0> ,1017,<0> ,1.4,<0> ,2.7,<0> ,14:01,266,<0> ,17,<0> ,413.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 14:30,0,1,15,,15.5,<0> ,56,<0> ,1017,<0> ,1.0,<0> ,1.8,<0> ,14:17,271,<0> ,30,<0> ,281.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 14:45,0,1,15,,15.4,<0> ,57,<0> ,1016,<0> ,0.9,<0> ,1.9,<0> ,14:31,271,<0> ,30,<0> ,281.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 15:00,0,1,15,,15.4,<0> ,56,<0> ,1016,<0> ,0.7,<0> ,1.7,<0> ,14:54,309,<0> ,19,<0> ,238.1,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 15:15,0,1,15,,15.1,<0> ,56,<0> ,1016,<0> ,0.9,<0> ,1.8,<0> ,15:12,273,<0> ,30,<0> ,221.5,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 15:30,0,1,15,,15.2,<0> ,57,<0> ,1016,<0> ,1.1,<0> ,2.0,<0> ,15:27,290,<0> ,15,<0> ,213.5,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 15:45,0,1,15,,15.0,<0> ,57,<0> ,1016,<0> ,0.6,<0> ,1.3,<0> ,15:39,279,<0> ,20,<0> ,142.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 16:00,0,1,15,,14.9,<0> ,58,<0> ,1016,<0> ,0.8,<0> ,1.4,<0> ,15:52,294,<0> ,18,<0> ,91.6,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 16:15,0,1,15,,14.7,<0> ,59,<0> ,1016,<0> ,0.5,<0> ,1.0,<0> ,16:00,277,<0> ,4,<0> ,52.3,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 16:30,0,1,15,,14.5,<0> ,60,<0> ,1016,<0> ,0.5,<0> ,0.9,<0> ,16:21,275,<0> ,9,<0> ,25.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 16:45,0,1,15,,14.2,<0> ,61,<0> ,1016,<0> ,0.0,<0> ,0.4,<0> ,16:30,286,<0> ,0,<0> ,9.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 17:00,0,1,15,,13.9,<0> ,64,<0> ,1017,<0> ,0.0,<0> ,0.5,<0> ,17:00,283,<0> ,1,<0> ,1.2,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 17:15,0,1,15,,13.7,<0> ,65,<0> ,1017,<0> ,0.1,<0> ,0.6,<0> ,17:08,282,<0> ,3,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 17:30,0,1,15,,13.7,<0> ,65,<0> ,1017,<0> ,0.4,<0> ,0.9,<0> ,17:20,292,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 17:45,0,1,15,,13.7,<0> ,65,<0> ,1017,<0> ,0.1,<0> ,0.4,<0> ,17:33,288,<0> ,4,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 18:00,0,1,15,,13.6,<0> ,66,<0> ,1017,<0> ,0.1,<0> ,0.5,<0> ,17:48,130,<0> ,2,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 18:15,0,1,15,,13.5,<0> ,66,<0> ,1017,<0> ,0.0,<0> ,0.0,<0> ,18:00,0,<0> ,0,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 18:30,0,1,15,,13.3,<0> ,66,<0> ,1017,<0> ,0.0,<0> ,0.0,<0> ,18:15,0,<0> ,0,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 18:45,0,1,15,,13.3,<0> ,67,<0> ,1017,<0> ,0.4,<0> ,0.9,<0> ,18:41,138,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 19:00,0,1,15,,13.0,<0> ,69,<0> ,1017,<0> ,0.8,<0> ,1.1,<0> ,18:51,160,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 19:15,0,1,15,,13.0,<0> ,69,<0> ,1017,<0> ,0.1,<0> ,0.6,<0> ,19:03,211,<0> ,25,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 19:30,0,1,15,,12.9,<0> ,70,<0> ,1017,<0> ,0.3,<0> ,1.4,<0> ,19:25,205,<0> ,45,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 19:45,0,1,15,,13.1,<0> ,69,<0> ,1017,<0> ,0.0,<0> ,0.4,<0> ,19:30,225,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 20:00,0,1,15,,13.0,<0> ,70,<0> ,1018,<0> ,0.1,<0> ,0.5,<0> ,19:55,176,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 20:15,0,1,15,,13.0,<0> ,70,<0> ,1018,<0> ,0.0,<0> ,0.0,<0> ,20:00,0,<0> ,0,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 20:30,0,1,15,,13.4,<0> ,68,<0> ,1018,<0> ,0.2,<0> ,0.6,<0> ,20:26,84,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 20:45,0,1,15,,13.6,<0> ,67,<0> ,1018,<0> ,0.2,<0> ,0.7,<0> ,20:44,109,<0> ,4,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 21:00,0,1,15,,13.5,<0> ,68,<0> ,1018,<0> ,0.3,<0> ,0.7,<0> ,20:45,104,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 21:15,0,1,15,,13.6,<0> ,67,<0> ,1018,<0> ,0.1,<0> ,0.4,<0> ,21:03,99,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 21:30,0,1,15,,13.5,<0> ,68,<0> ,1018,<0> ,0.2,<0> ,0.5,<0> ,21:22,114,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 21:45,0,1,15,,13.4,<0> ,68,<0> ,1018,<0> ,0.0,<0> ,0.5,<0> ,21:37,161,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 22:00,0,1,15,,13.1,<0> ,69,<0> ,1018,<0> ,0.2,<0> ,0.6,<0> ,21:47,140,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 22:15,0,1,15,,13.1,<0> ,69,<0> ,1019,<0> ,0.2,<0> ,0.6,<0> ,22:10,118,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 22:30,0,1,15,,13.2,<0> ,69,<0> ,1019,<0> ,0.2,<0> ,0.6,<0> ,22:16,137,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 22:45,0,1,15,,13.1,<0> ,69,<0> ,1019,<0> ,0.5,<0> ,1.2,<0> ,22:39,114,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 23:00,0,1,15,,13.4,<0> ,65,<0> ,1019,<0> ,0.6,<0> ,1.1,<0> ,22:57,105,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 23:15,0,1,15,,13.7,<0> ,62,<0> ,1019,<0> ,0.4,<0> ,0.8,<0> ,23:14,96,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 23:30,0,1,15,,13.5,<0> ,63,<0> ,1019,<0> ,0.4,<0> ,1.0,<0> ,23:16,107,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 23:45,0,1,15,,13.4,<0> ,63,<0> ,1019,<0> ,0.7,<0> ,1.1,<0> ,23:36,106,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 00:00,0,1,15,,13.1,<0> ,64,<0> ,1018,<0> ,0.9,<0> ,1.2,<0> ,23:48,102,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 00:15,0,1,15,,13.1,<0> ,64,<0> ,1019,<0> ,0.7,<0> ,0.9,<0> ,00:06,104,<0> ,6,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 00:30,0,1,15,,13.1,<0> ,64,<0> ,1019,<0> ,0.8,<0> ,1.2,<0> ,00:25,105,<0> ,5,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 00:45,0,1,15,,13.1,<0> ,64,<0> ,1019,<0> ,0.9,<0> ,1.2,<0> ,00:42,108,<0> ,4,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 01:00,0,1,15,,13.0,<0> ,65,<0> ,1018,<0> ,0.9,<0> ,1.5,<0> ,00:57,109,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 01:15,0,1,15,,12.8,<0> ,65,<0> ,1018,<0> ,0.9,<0> ,1.4,<0> ,01:09,110,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 01:30,0,1,15,,12.5,<0> ,66,<0> ,1019,<0> ,0.6,<0> ,1.2,<0> ,01:16,111,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 01:45,0,1,15,,12.5,<0> ,66,<0> ,1019,<0> ,0.9,<0> ,1.7,<0> ,01:40,106,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 02:00,0,1,15,,12.6,<0> ,66,<0> ,1018,<0> ,1.0,<0> ,1.9,<0> ,01:59,109,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 02:15,0,1,15,,12.8,<0> ,65,<0> ,1018,<0> ,1.6,<0> ,2.8,<0> ,02:14,107,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 02:30,0,1,15,,12.8,<0> ,64,<0> ,1018,<0> ,1.9,<0> ,3.1,<0> ,02:20,108,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 02:45,0,1,15,,12.8,<0> ,64,<0> ,1018,<0> ,1.3,<0> ,2.2,<0> ,02:31,97,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 03:00,0,1,15,,12.6,<0> ,64,<0> ,1018,<0> ,1.5,<0> ,2.5,<0> ,02:56,103,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 03:15,0,1,15,,12.4,<0> ,65,<0> ,1018,<0> ,1.3,<0> ,2.3,<0> ,03:10,100,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 03:30,0,1,15,,12.2,<0> ,66,<0> ,1019,<0> ,0.7,<0> ,1.4,<0> ,03:15,85,<0> ,17,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 03:45,0,1,15,,12.0,<0> ,66,<0> ,1019,<0> ,0.6,<0> ,1.1,<0> ,03:44,77,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 04:00,0,1,15,,11.9,<0> ,67,<0> ,1019,<0> ,0.5,<0> ,1.1,<0> ,03:46,63,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 04:15,0,1,15,,11.7,<0> ,68,<0> ,1019,<0> ,0.7,<0> ,1.3,<0> ,04:08,80,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 04:30,0,1,15,,11.3,<0> ,69,<0> ,1018,<0> ,0.8,<0> ,1.4,<0> ,04:28,89,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 04:45,0,1,15,,11.2,<0> ,70,<0> ,1018,<0> ,0.9,<0> ,1.4,<0> ,04:33,90,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 05:00,0,1,15,,10.9,<0> ,71,<0> ,1018,<0> ,1.2,<0> ,2.1,<0> ,04:56,100,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 05:15,0,1,15,,11.1,<0> ,70,<0> ,1019,<0> ,1.0,<0> ,2.0,<0> ,05:06,82,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 05:30,0,1,15,,11.1,<0> ,70,<0> ,1019,<0> ,0.8,<0> ,1.7,<0> ,05:18,65,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 05:45,0,1,15,,10.8,<0> ,71,<0> ,1019,<0> ,0.7,<0> ,1.3,<0> ,05:42,60,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 06:00,0,1,15,,10.8,<0> ,70,<0> ,1019,<0> ,0.8,<0> ,1.9,<0> ,05:59,62,<0> ,11,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 06:15,0,1,15,,10.8,<0> ,71,<0> ,1019,<0> ,1.1,<0> ,1.8,<0> ,06:05,80,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 06:30,0,1,15,,10.6,<0> ,71,<0> ,1019,<0> ,1.2,<0> ,2.5,<0> ,06:27,88,<0> ,13,<0> ,1.5,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 06:45,0,1,15,,10.7,<0> ,71,<0> ,1019,<0> ,1.3,<0> ,2.4,<0> ,06:40,88,<0> ,14,<0> ,11.9,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 07:00,0,1,15,,10.9,<0> ,71,<0> ,1019,<0> ,1.4,<0> ,2.5,<0> ,06:48,79,<0> ,13,<0> ,40.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/02/2022 07:15,0,1,15,,11.0,<0> ,70,<0> ,1020,<0> ,1.3,<0> ,2.3,<0> ,07:13,82,<0> ,15,<0> ,80.3,<0> ,0.0,<0> ,
